id,年,月,日,時,気温,降水量,日照時間
292,2018,1,13,5,-0.3,0.0,0.0
293,2018,1,13,6,-0.3,0.0,0.0
294,2018,1,13,7,-0.5,0.0,0.0
295,2018,1,13,8,-0.2,0.0,0.5
296,2018,1,13,9,1.5,0.0,1.0
297,2018,1,13,10,3.2,0.0,1.0
298,2018,1,13,11,4.7,0.0,1.0
299,2018,1,13,12,5.6,0.0,1.0
300,2018,1,13,13,6.7,0.0,1.0
301,2018,1,13,14,6.6,0.0,1.0
302,2018,1,13,15,6.0,0.0,1.0
303,2018,1,13,16,5.5,0.0,1.0
304,2018,1,13,17,3.5,0.0,0.6
305,2018,1,13,18,2.5,0.0,0.0
306,2018,1,13,19,2.6,0.0,0.0
307,2018,1,13,20,2.8,0.0,0.0
308,2018,1,13,21,3.7,0.0,0.0
309,2018,1,13,22,3.5,0.0,0.0
310,2018,1,13,23,2.8,0.0,0.0
311,2018,1,13,24,2.5,0.0,0.0
312,2018,1,14,1,2.3,0.0,0.0
313,2018,1,14,2,2.6,0.0,0.0
314,2018,1,14,3,2.1,0.0,0.0
315,2018,1,14,4,2.5,0.0,0.0
316,2018,1,14,5,2.4,0.0,0.0
317,2018,1,14,6,1.0,0.0,0.0
318,2018,1,14,7,2.0,0.0,0.0
319,2018,1,14,8,2.9,0.0,0.6
320,2018,1,14,9,4.4,0.0,1.0
321,2018,1,14,10,5.6,0.0,1.0
322,2018,1,14,11,6.9,0.0,1.0
323,2018,1,14,12,7.2,0.0,1.0
324,2018,1,14,13,7.5,0.0,1.0
325,2018,1,14,14,7.7,0.0,1.0
326,2018,1,14,15,6.8,0.0,1.0
327,2018,1,14,16,6.3,0.0,1.0
328,2018,1,14,17,4.4,0.0,0.7
329,2018,1,14,18,4.3,0.0,0.0
330,2018,1,14,19,5.1,0.0,0.0
331,2018,1,14,20,4.7,0.0,0.0
332,2018,1,14,21,2.7,0.0,0.0
333,2018,1,14,22,2.5,0.0,0.0
334,2018,1,14,23,2.0,0.0,0.0
335,2018,1,14,24,2.1,0.0,0.0
336,2018,1,15,1,1.7,0.0,0.0
